Kategori,Bahan,Keterangan,Nama Resep,Bahan yang dibutuhkan,Cara Membuat,Kalori
,Daging Unggas,Bebek,Bebek Panggang Hijau,"1 ekor bebek ; 2 bh jeruk nipis, peras airnya ; 6 sdm minyak goreng untuk menumis ; 100 ml air ; 6 lbr daun jeruk ; 2 btg serai ; 300 gr cabai hijau besar ; 10 siung bawang merah ; 4 siung bawang putih ; 6 btr kemiri ; 5 ruas jahe ; Penyedap Rasa Ayam secukupnya","1.Potong bebek menjadi 12 potong, lalu siram dengan air jeruk nipis dan diamkan beberapa saat. ; 2.Panaskan minyak, tumis bumbu halus, masukkan air, daun jeruk, serai, dan penyedap rasa ayam. ; 3.Masukkan potongan bebek, aduk sampai terendam bumbu dan masak sampai air berkurang. ; 4.Panggang bebek pada oven 250ºc atau 25 menit (sambil sesekali dibalik)",per 4 porsi - Kalori: 3940kkal | Lemak: 350g | Karb: 31g | Prot: 169g
,Gurita,,Gurita Sosis Pedas,500 gr gurita ; 1 sachet masako rasa ayam ; 1 sdt garam ; 200 ml Minyak goreng ; 3 lembar daun salam ; 3 lembar daun jeruk ; 1 liter air ; 12 butir sosis ; 30 buah Cabai keriting ; 10 buah Cengek domba ; 8 siung bawang putih ; 1 ruas jahe,1.Rebus gurita dengan air mendidih lalu masukkan daun salam masak sampai gurita matang lalu tiriskan ; 2.Blender semua bahan halus ; 3.Goreng sosis pada minyak panas ; 4.Tumis bumbu halus pada minyak panas lalu masukkan daun jeruk dan daun salam masak hingga bumbu harum ; 5.Setelah bumbu harum masukkan gurita dan sosis aduk-aduk lalu masukkan garam penyedap. Tes rasa ; 6.Jika dirasa sudah cukup matikan api gurita dan sosis masukkan ke dalam piring saji siap dinikmati,data not found
,Gurita,,Gurita Asam Manis,baby gurita ; 1/2 bawang Bombay ; 3 siung bawang putih ; 1 Cabai besar ; 4 buah Cabai rawit ; Secukupnya lada bubuk ; Secukupnya garam gula ; 1 sachet saos tomat ; 3 sachet saos sambal ; sedikit saos tiram,"1. Rebus gurita hingga empuk lalu dinginkan dan potong sesuai selera ; 2.Siapkan bahan dan iris lalu tumis semua dan masukkan saos, bumbu penyedap & gurita tambahkan lada bubuk, garam & gula secukupnya, tumis lagi hingga matang siap di hidangkan",data not found
,Gurita,,Gurita Saus Padang,300 gr Gurita ; 1/2 buah bawang bombay ; 4 siung bawang putih ; 1 batang sereh ; 3 sdm saus cabai ; 5 sdm saus tomat ; 4 sendok saus teriyaki ; 5 Siung bawang merah ; 1 ruas jahe ; 5 buah Cabai kriting ; 3 butir kemiri,"1.Siapkan bahan Gurita yang sudah di potong, bumbu iris, bumbu halus, dan bumbu saus. ; 2.Panas kan minyak, lalu setelah minyak panas masukan bumbu halus, sere, dan jahe (di geprek dulu) ; 3.Setelah bumbu masak dan wangi masukan bawang bombai, lalu masukan gurita. ; 4.Aduk hingga merata beri sedikit air, masukan bumbu saos, bumbu penyedap, lalu koreksi rasa.",data not found
,Ikan,,Ikan Bakar Rica Rica,2 ekor Ikan nila sedang per ekor ukuran 150 gram ; 1 bh Jeruk nipis untuk dibalurkan di ikan ; 1 sdt Garam ; 50 gr Cabai keriting merah ; 50 gr Cabai keriting hijau ; 15 bh Cabai rawit merah ; 15 bh Cabai rawit hijau ; 4 siung Bawang putih ; 8 siung Bawang merah ; 1 sdt Garam ; 1/2 sdt penyedap ; 20 ml Minyak goreng ; 3 siung Bawang putih ; 6 siung Bawang merah ; 1 ruas jari Jahe ; 3 bh Kemiri ; 40 ml Minyak goreng ; 1/2 sdt Garam,"1.Sayat ikan dan baluri dengan jeruk nipis, garam juga setengah bagian bumbu olesan ikan untuk proses marinasi. Marinasi selama 15 menit. ; 2.Haluskan semua bahan untuk olesan ikan, hingga halus, lalu tumis sampai wangi. Olesi ikan dengan bumbu sembari dibakar. ; 3.Haluskan semua bahan untuk sambal rica- rica, tumis hingga harum, tambahkan penyedap. ; 4.Aduk hingga tercampur rata. Sisihkan ; 5.Sajikan ikan bakar rica dengan sambal dan kemangi.",per 2 porsi - Kalori: 149kkal | Lemak: 8g | Karb: 10g | Prot: 13g
,Ikan,,Ikan Pesmol,2 ekor Ikan mas ; 8 bh Cabe rawit merah ; 8 bh Cabe rawit hijau ; 3/4 bks Penyedap Rasa Ayam 10 gr ; 1 sdm Gula pasir ; 1 btg Sereh ; 2 bh Daun jeruk ; 150 ml Air ; 600 ml Minyak goreng ; 2 ruas Lengkuas ; 4 siung Bawang putih ; 1 ruas Jahe ; 2 bh Kemiri ; 1 ruas Kunyit ; 50 ml Air,"1.Panaskan minyak goreng. Lumuri ikan mas dengan 1/4 bks penyedap Rasa Ayam, goreng hingga matang. Angkat dan sisihkan. ; 2.Blender bumbu halus (lengkuas, bawang putih, jahe, kemiri, dan kunyit). Tambahkan air untuk mempermudah proses blender. Sisihkan. ; 3.Panaskan 3 sdm minyak goreng, masukkan bumbu halus, cabai rawit merah, cabai rawit hijau, sereh, dan daun jeruk, tumis hingga harum. Masukkan 1/2 bungkus penyedap Rasa Ayam, aduk rata. ; 4.Masukkan air dan ikan goreng. Aduk rata dan masak hingga mengental.",per 2 porsi - Kalori: 751kkal | Lemak: 50g | Karb: 23g | Prot: 51g
,Ikan,,Ikan Panggang Bumbu Ketumbar,"400 gr Ikan ; 2 sdm Air asam jawa ; 1 sdm Gula jawa, sisir ; 1 sdt penyedap ; 1/4 sdt Garam ; 1/2 sdt Lada putih ; 2 sdm Minyak goreng ; 5 butir Bawang merah ; 5 butir Bawang putih ; 3 cm Kunyit ; 1 sdt Ketumbar sangrai","1.Blender bumbu hingga halus. ; 2.Panaskan minyak, lalu tumis bumbu hingga harum. Masukkan air asam jawa, gula jawa, penyedap lada, dan garam. Matikan api, pisahkan 1/4 untuk menjadi saus topping. ; 3.Bumbui ikan dengan bumbu halus hingga merata. ; 4.Panggang hingga matang di atas wajan anti lengket selama 5 menit. Angkat dan sajikan dengan bumbu yang sudah disisihkan.",per 2 porsi - Kalori: 309kkal | Lemak: 13g | Karb: 21g | Prot: 28g
,Jeroan,,Sambel Goreng Ati,250 gr Ati-ampela ayam rebus ; 150 gr Daun singkong rebus ; 2 ruas Lengkuas ; 2 lbr Daun salam ; 3 btr Kemiri ; 4 bh Cabai merah ; 150 ml Santan encer ; 1 bks Penyedap Rasa Ayam 11 gr ; 1 sdm Gula merah ; 3 sdm Minyak goreng ; Pelengkap: Petai goreng,"1.Memarkan lengkuas. Buang biji dan iris iris cabai merah (2 bh). Potong potong daun singkong dan ati ampela. ; 2.Haluskan sisa cabai merah dan kemiri. Tumis bumbu halus. Masukkan cabai merah, daun salam, dan lengkuas, masak hingga harum. ; 3.Masukkan ati ampela dan daun singkong, aduk rata. ; 4.Tambahkan, santan, gula, dan penyedap rasa ayam, masak hingga kuah menyusut, angkat, dan sajikan.",per porsi - Kalori: 285kkal
,Jeroan,,Asem Asem Ati Ampela,"400 g ati ampela ayam, belah dua ; 150 ml air ; 3 mata asam jawa, seduh dengan air panas ; 2 btr bawang merah, iris tipis ; 4 siung bawang putih, iris tipis ; 5 cm lengkuas, memarkan ; 1 sdm garam ; 1 sdm gula pasir ; Penyedap secukupnya ; 3 sdm minyak goreng ; 5 bh cabai merah ; 3 bh cabai rawit ; 1/2 sdm terasi, bakar","1.Iris bawang putih dan bawang merah. Memarkan lengkuas ; 2.Belah 2 ati ampela ; 3.Haluskan bumbu. Tumis bawang putih, bawang merah, dan lengkuas. Masukkan ati ampela masak hingga matang ; 4.Tambahkan air asam, bumbu halus dan air. Taburkan gula, garam dan penyedap. Masak hingga kuah habis. Angkat dan sajikan",per porsi - Kalori: 183kkal
,Kepiting,,Kare Capit Kepiting,"5,50 ml minyak goreng ; 15 ml sun kara ; 1/4 ikat ketumbar ; 1 sdt bubuk kari ; 500 gram kepiting ; 5 kecil bawang merah ; 3 siung bawang putih ; 20 gram cabai merah atau rawit","1.Tumis bumbu halus hingga wangi. ; 2.Masukkan air secukupnya. ; 3.Masukkan kara. ; 4.Masukkan kepiting, garam dan kaldu bubuk, tambahkan cabe rawit utuh. ; 5.Tes rasa.","per porsi - Kalori: 205kkal | Lemak: 5,37g | Karb: 13,20g | Prot: 26,78g"
,Kepiting,,Kepiting Saus Padang,1 Kg Kepiting (belah 2 bersihkan) ; 2 buah Jagung Manis (potong2) ; 8 buah Bawang Merah ; 5 siung Bawang Putih ; 1 ruas jari kunyit ; 1 ruas jari Jahe ; 15-20 buah Cabai merah besar ; 5-10 Cabai Rawit merah (caplak/setan) ; 3 buah Tomat ; 1 batang Serai geprek ; 3 lembar daun salam ; 2 lembar daun jeruk ; 2 batang Daun bawang (potong Besar Serong panjang) ; 1 buah bawang Bombai(Potong Besar 8bagian) ; secukupnya Air ; secukupnya Garam gula penyedap ; Saos Pedas (optional saja ya) ; 3 sdm minyak Utk menumis ; 1 butir telur kocok lepas(optional jg ya),"1.Kepiting Sudah dipotong dan Cuci bersih, Lalu rebus Sekitar 5menit Uang Airnya sisihkan ; 2.Tumis Bumbu Halus sampe Wangi, lalu Masukan Jagung Dan Masukan Air serta Bumbu2 pelengkap dan Bumbu Tambahan Lainnya,, biarkan Mendidih Lalu Masukan Kepiting nyaa ; 3.Setelah Itu Masukan Kocokan Telur Pelan2 dan aduk, aduk Koreksi Rasa ; 4.Kepiting Saus Padang Siap disajikan",data not found
,Kerang,,Kerang Hijau Saus Tiram,250 gr Kerang hijau ; 1 bks Saus Tiram ; 1 bh Cabai merah besar ; 1 ruas Jahe ; 150 ml Air ; 3 sdm Minyak Goreng,"1.Iris cabai merah besar, geprek jahe, sisihkan. ; 2.Panaskan minyak goreng. Masukkan cabai merah besar dan jahe, tumis sebentar. ; 3.Masukkan kerrang hijau. ; 4.Tambahkan air dan Saus Tiram, masak hingga matang. Angkat dan sajikan.",per 4 porsi - Kalori: 521kkal | Lemak: 37g | Karb: 11g | Prot: 36g
,Kerang,,Tumis Kerang Saus Mentega,150 gr Kerang Rebus ; 1 bks Saus Rasa Mentega ; 1/4bh Bawang Bombay ; 1 bh Cabai Merah ; 1 bh Cabai Hijau ; 2 sdm Minyak Goreng,"1.Iris bawang bombay memanjang, potong cabai merah dan cabai hijau bentuk segitiga , sisihkan ; 2.Panaskan 2 sdm minyak goreng , tumis bawang bombay, cabai merah dan cabai hijau ; 3.Masukkan kerang rebus, aduk rata ; 4.Masukkan air dan Saus Rasa Mentega, aduk rata, masak hingga matang",per 2 porsi - Kalori: 295kkal | Lemak: 23g | Karb: 8g | Prot: 36g
,Kerang,,Kerang Teriyaki Sambal Mangga,250 g kerang ; 100 g mangga muda ; 3 siung bawang putih ; 3 siung bawang merah ; 2 bh cabai merah ; 3 bh cabai rawit ; 1 bks Saus Teriyaki ; 3 sdm minyak goreng,"1.Iris iris bawang merah, bawang putih, & cabai rawit. Iris serong cabai merah, potong mangga ukuran korek api, sisihkan. ; 2.Tumis bawang merah, bawang putih, cabai merah, cabai rawit, & kerang, aduk rata. ; 3.Tambahkan Saus Teriyaki aduk rata. ; 4.Masukkan irisan mangga, masak hingga matang, sajikan.",per 4 porsi - Kalori: 619kkal | Lemak: 37g | Karb: 31g | Prot: 39g
,Kikil,,Tumis Kikil,200 gr Kikil Sapi Rebus ; 2 siung Bawang Putih ; 4 bh Cabai Rawit ; 1 bh Cabai Hijau Besar ; 1 bks Saus Tiram ; 3 sdm Minyak Goreng ; 50 ml Air,"1.Iris kikil, cabai rawit, cabai hijau, dan cincang bawang putih, sisihkan. ; 2.Panaskan minyak goreng, tumis bawang putih, cabai rawit, cabai hijau, dan kikil aduk rata. ; 3.Tambahkan air dan saus tiram, aduk rata, masak hingga matang. Angkat, sajikan.",per 4 porsi - Kalori: 536kkal | Lemak: 42g | Karb: 13g | Prot: 29g
,Kikil,,Kikil Daun Singkong Bumbu Rendang,500 gr Kikil sapi ; 450 ml Santan (1/2 btr) ; 200 gr Daun singkong (2 ikat) ; 1 bks Bumbu Rendang,"1.Tumis kikil hingga 1/2 matang. Tambahkan Bumbu Rendang. Aduk rata hingga bumbu meresap ; 2.Tuang santan, masak sebentar hingga kuah berminyak. Tambahkan daun singkong rebus. ; 3.Teruskan memasak hingga bahan matang. Angkat dan sajikan.",per 4 porsi - Kalori: 2168kkal | Lemak: 185g | Karb: 59g | Prot: 100g
,Kikil,,Sate Kikil,"500 gr kikil sapi, rebus matang, potong 1 x 1/2 cm ; Garam secukupnya ; Merica secukupnya ; 4 sdm minyak goreng ; Penyedap Rasa Sapi secukupnya ; 1 ltr air ; 1/2 sdm gula merah ; 3 cm jahe, kupas, bakar ; 1/2 btr kelapa setengah tua, parut ; 1 sdt gula pasir ; 1 sdt gula merah, iris halus ; 2 sdm air asam jawa ; Penyedap Rasa Sapi secukupnya","1.Tumis bumbu halus. Masukkan kikil, aduk rata. Tambahkan 1 ltr air,Penyedap Rasa Sapi secukupnya, serta garam dan merica. Masak hingga bumbu meresap. Sisihkan. ; 2.Taburan kelapa : Sangrai kelapa dan sisa Penyedap Rasa Sapi hingga kecoklatan. Tambahkan sisa bahan, aduk rata. Sisihkan. ; 3.Tusuk kikil ke tusuk sate. Balut kikil dengan taburan kelapa hingga rata. Sajikan.",per 6 porsi - Kalori: 1420kkal | Lemak: 99g | Karb: 62g | Prot: 78g
,Lobster,,Lobster Bakar Madu,1 kg lobster ; 1 buah jeruk nipis ; Secukupnya garam ; Secukupnya merica bubuk ; 1 sdm madu ; 4 sdm saus Cabai ; 4 sdm saos tomat ; 3 sdm kecap manis ; 1 sdm saos tiram ; 2 siung bawang putih haluskan ; 2 sdm margarin,"1.Bersihkan lobster, buang duri2nya lalu belah dua mulai dari kepala hingga ekornya tapi ga sampai putus. Lalu cuci bersih. Beri perasan air jeruk nipis, garam dan merica bubuk. Diamkan 15 menit ; 2.Lalu kukus lobster 10 menit. Angkat ; 3.Panaskan margarin, lalu tumis bawang putih hingga layu dan wangi. Campur semua bumbu oles, masukkan tumisan bawang putih bersama margarinnya. Aduk rata ; 4.Olesi lobster dengan bumbu sambil menunggu pembakaran panas. Oleskan merata hingga ke dagingnya. Lalu bakar dengan sesekali diolesi bumbu ; 5. Sajikan selagi hangat",data not found
,Lobster,,Lobster Saus Padang,1 kg lobster ; 2 tangkai daun bawang ; 200 ml air ; secukupnya Minyok goreng ; 1 buah bawang bombai ; 2 lembar daun jeruk ; 2 lembar daun salam ; 1/2 sdt garam ; 1/2 sdt gula ; Secukupnya kaldu ayam ; 2 sdm saos cabai ; 2 sachet saos tiram ; 8 bawang putih ; 12 bawang merah ; 2 ruas jahe ; 2 ruas kunyit ; 6 biji kemiri ; 12 cabe kriting ; 8 cabe merah ; sesuai selera Cabe rawit,"1.Cuci bersih lobster, buang isi kepalanya dan siapkan bumbunya ; 2.Kukus lobster selama 10 menit lalu tiriskan ; 3.Tumis bawang bombai dan daun bawang hingga harum ; 4.Tumis bumbu halus, daun salam, daun jeruk sambil aduk2 ; 5.Masukan air, tunggu hingga mendidih ; 6.Masukan gula, garam, kali, saos tiram dan saos cabe, ; 7.Masukan lobster yg sudah D kukus ke dalam tumisan bumbu ; 8.Cek rasa dan tunggu kuah agak kesat, ; 9.Lobster saos padang siap Di nikmati",data not found
,Udang,,Udang Tumis Brokoli,2 g royco ayam ; 10 gram bawang bombay ; 10 g bawang merah goreng ; 250 sedang udang ; 3 sdt bubuk cabai ; 1 sdm kecap manis ; 1 sdm bawang putih bubuk ; 1 sdt garam ; 150 gram brokoli,1.Rebus udang sampai setengah matang dgn air. ; 2.Masukkan brokoli dan bumbu. ; 3.Rebus sehingga cukup air.,"per porsi - Kalori: 334kkal | Lemak: 5,72g | Karb: 8,87g | Prot: 58,79g"
,Udang,,Tumis Udang Bakso,3 g lada putih bubuk ; 5 gram cabai merah besar ; 2 sdm saos tiram ; 80 gram udang ; 30 gram bakso daging sapi ; 30 gram bakso ayam ; 1 siung bawang putih ; 118 gram wortel ; 120 gram kembang kol,"1.Cuci udang dan kupas. Potong sayuran. ; 2.Tumis bawang putih di wajan yang sudah diolesi sedikit minyak sampai harum lalu tambahkan saus tiram. ; 3.Masukkan udang, bakso, dan sayuran. ; 4.Bumbui dan didihkan sampai matang.","per porsi - Kalori: 164kkal | Lemak: 3,98g | Karb: 14,18g | Prot: 17,68g"
,Udang,,Bola Udang Ikan Wortel,5 g lada putih bubuk ; 1 1/2 sendok kaldu jamur ; 15 ml saus rasa tiram ; 100 gram udang ; 300 gram ikan tenggiri ; 34 gram bawang bombay ; 102 gram telur (utuh) ; 77 gram wortel,1.Kupas udang dan buang tulang di tenggiri. ; 2.Campur semua bahan dalam food processor dan bumbui sesuai keinginan. ; 3.Buat bola-bola (masing-masing sekitar 25 g). ; 4.Masukkan ke dalam kukusan dan masak selama 20 menit.,"per porsi - Kalori: 30kkal | Lemak: 0,90g | Karb: 1,12g | Prot: 4,08g"
,Usus,,Pepes Usus,500 gr usus ayam Campur ati ampela ; 2 ikat kemangi ; 2 buah tomat (cuci bersih lalu iris) ; Secukupnya daun salam ; 5 siung Bawang merah ; 4 siung bawang putih ; 7 butir kemiri ; 2 ruas kunyit(bisa lebih) ; 2 ruas lengkuas (memarkan) ; 2 batang serai (memarkan) ; 3 lembar daun salam ; 3 tangkai daun bawang ; Segenggam daun kemangi ; 2 buah tomat,1.Siapkan bahan cuci bersih usus sampai benar2 bersih sisihkan ; 2.Blender halus bumbu panaskan minyak tumis bumbu halus sampai harum beri sedikit air lalu masukan usus dan ati ampela nya beri sedikit air lalu bumbui dengan garam gula pasir dan kaldu bubuk masak sampai air nya surut ; 3.Siapkan daun pisang yang sudah dibersihkan lalu tata daun kemangi tomat cabe merah (sebelumnya sudah diiris)dan daun salam masukan 2 SDM usus yang sudah dimasak tadi lalu bungkus memanjang beri perekat Ujung daun dengan cara diberi sematan lidi atau di Staples lakukan sampai habis ; 4.Tata pepes dalam dandang lalu kukus selama 20 menit angkat dan sajikan selamat mencoba,data not found
,Usus,,Tumis Usus Cabai Hijau,"1/2 kg usus ayam ; 4 Cabai merah ; 6 Cabai ijo ; 4 Cabai rawit ; 1 buah tomat ; 5 siung bawang putih ; 7 siung bawang merah ; 3 cm jahe ; 3 cm lengkuas ; 3 batang sereh ; 4 lembar daun jeruk ; 2 lembar daun salam ; Kecap manis (secukupnya) ; Garam, penyedap rasa, gula","1.Cuci bersih usus ayam, bener bener sampe bersih ya mom's. Tambahkan jeruk nipis biar ga amis, lalu rebus usus tambahkan garam, jahe geprek, daun jeruk, daun salam, sereh rebus sebentar ; 2.Iris semua bahan seperti bawang merah, bawang putih, jahe, lengkuas, Cabai, tomat, geprek sereh. ; 3.Panaskan minyak goreng, masukan bawang putih dan merah masak sampai agak kering lalu masukan Cabai dan bumbu lainya. Masak sampai agak layu ; 4.Lalu masukan usus yg sudah direbus tadi aduk aduk, tambahkan sedikit air lalu tambahkan garam, penyedap, gula dan kecap ; 5.Masak sampe bumbu meresap, lalu masukan potongan tomat aduk aduk selesai siap dihidangkan",data not found
