Kategori,Bahan,Nama Resep,Bahan yang dibutuhkan,Cara Membuat,Kalori,Jumlah Porsi
,Jamur,Capcay Jamur,100 gr Jamur Hioko; 100 gr Jamur Kancing; 50 gr Jamur Tiram; 50 gr Jamur Kuping; 50 gr Wortel; 4 btg Sawi Hijau; 30 gr Kembang Kol; 1 bks Sajiku Bumbu Capcay; 2 sdm Minyak Goreng; 300 ml Air,"1. Potong-potong jamur, wortel, kembang kol, dan sawi hijau, sisihkan; 2. Panaskan minyak goreng, masukkan wortel, kembang kol, sawi hijau, dan jamur, aduk rata hingga layu; 3. Tambahkan air dan Sajiku® Bumbu Capcay, masak hingga matang, angkat, dan sajikan.",Kalori: 468 Kkal | Protein: 24 gr | Karbohidrat: 44 gr | Lemak: 23 gr,4 porsi
,Jamur,Pakcoy Tahu Jamur,"100 gr Pokcoy (sudah direbus 1 menit); 100 gr Zucchini (potong setengah lingkar 0,5 cm); 40 gr Jamur kancing (iris 0,5 cm); 40 gr Jamur shimeji; 150 gr Wortel (iris serong); 150 gr Wortel (iris serong) 6 btr Telur puyuh (rebus dan kupas); 1 bh Cabe merah (iris serong); 1 bks Masako® Rasa Ayam; 1 sdt Kecap ikan; 1 sdt Maizena larutkan dengan 1 sdm air; 1 btr Bawang putih cincang; 2 sdm Minyak goreng; 80 ml Air","1. Potong Zucchini, Jamur, Cabe merah, Wortel dan Bawang Putih. Rebus Pakcoy di air mendidih selama 15 detik, kemudian angkat dan tiriskan; 2. Tumis bawang putih. Masukkan wortel, telur, jamur, dan air; 3. Masukkan zucchini, kecap ikan, cabe merah, dan Masako® Rasa Ayam masak hingga tercampur rata. Tambahkan larutan maizena aduk selama 10 menit hingga mengental angkat; 4. Tata pakcoy di atas piring kemudian siram dengan tumisan jamur telur, sajikan.",Kalori: 193 Kkal | Protein: 7 gr | Karbohidrat: 19 gr | Lemak: 13 gr,3 porsi
,Jengkol,Semur Jengkol,12 bh Jengkol Tua; 3 siung Bawang Putih; 3 siung Bawang Merah; 1 ruas Laos ; 5 lbr Daun Jeruk ; 4 sdm Kecap Manis ; ½ sdt Merica ; ½  sdt Garam ; 1 sdt AJI-NO-MOTO® ; 3 sdm Minyak Goreng ; 200 ml Air  ,"1 Rebus jengkol dengan daun jeruk hingga empuk, angkat, tiriskan. Geprek jengkol hingga pipih, sisihkan; 2. Bumbu halus: Masukkan bawang putih, bawang merah, laos, 3 sdm air, haluskan, sisihkan; 3. Panaskan minyak goreng, tumis bumbu halus dan jengkol hingga matang. Tambahkan sisa air, kecap manis, garam, merica dan AJI-NO-MOTO®, masak hingga mendidih, angkat , sajikan dengan bawang gorengSajikan",Kalori: 1469 Kkal | Protein: 34 | Karbohidrat: 251 | Lemak: 32,4 porsi
,Jengkol,Balado Cumi Asin dan Jengkol,"250 gr cumi asin; 250 gr jengkol muda; Jeruk nipis; Daun jeruk; 1,5 ons cabai merah kriting; 20 cabai rawit merah; 10 siung bawang merah iris; 1 tomat merah potong dadu; Garam","1. Cuci bersih cumi asin, buang semua kotoran dan plastik didalam cumi, potong sesuai selera, lalu rebus cumi dengan tambahan perasan air jeruk nipis sekitar 10 menit, buang air rebusan, cuci bersih cumi lalu rebus kembali sekitar 10 menit sampai cumi empuk; 2. Goreng jengkol muda dalam minyak panas dan wajan di tutup dengan api sedang, nanti kulit ari jengkol otomatis akan lepas, buang kulitnya, goreng sampai jengkol matang, lalu taruh jengkol goreng dalam wadah, taburkan garam, aduk sampai rata; 3. Tumis bawang merah iris sampai harum, masukkan potongan tomat dan daun jeruk, setelah tomat layu masukkan cumi dan cabai yang sudah di ulek kasar, masak dengan api kecil sampai tanak (keluar minyak) lalu campurkan dengan jengkol goreng, terakhir bumbui dengan sedikit gula pasir.",data not found,data not found
,Jengkol,Semur Jengkol Tahu,500 gram jengkol; Tahu kuning digoreng; 5 siung bawang putih; 5 siung bawang merah; 4 buah kemiri; Secukupnya Lada halus(Merica); Secukupnya gula jawa; Secukupnya garam; Secukupnya kecap manis; 1/2 bungkus santan kara; 2 lembar daun jeruk; 2 lembar daun salam,"1. Tumis bumbu halusnya (bawang putih + bawang merah + kemiri) dengan minyak goreng secukupnya. Lalu masukkan daun jeruk dan daun salam; 2. Masukkan jengkol yang sudah direbus dan sdiah digeprek tambahkan santan kara, beri air secukupnya; 3.  Masukkan gula jawa, lada, dan garam. terakhir masukkan tahu. cicipi rasa tunggu sampai agak meresap dan Sajikan",data not found,data not found
,Kangkung,Tumis Kangkung,"3 ikat kangkung, buang akar, potong-potong; 10 btr telur puyuh rebus; 3 bh cabai merah, iris serong; 1 bks SAORI Saus Tiram; 75 ml air 3 sdm minyak.","1. Potong potong cabai dan kangkung; 2. Tumis cabai hingga harum; 3. Masukkan kangkung, telur puyuh, dan air; 4. Tambahkan SAORI Saus Tiram, aduk rata, masak hingga matang, angkat dan sajikan.ata pakcoy di atas piring kemudian siram dengan tumisan jamur telur, sajikan.",Kalori: 459 Kkal | Protein: 19 gr | Karbohidrat: 12 gr | Lemak: 39 gr,4 porsi
,Kangkung,Cah Kangkung,59 gram kangkung; 1 sdm minyak goreng; 1 telur; 2 siung bawang putih; 5 gram cabai merah atau rawit; 2 kecil bawang merah,"1. Panaskan minyak, masukkan bawang merah dan bawang putih; 2. Tunggu hingga harum, masukkan kangkung dan cabe rawit; 3. Tambahkan sedikit air; 4. Tumis kangkung hingga masak dan tidak layu.",Kalori: 260 Kkal | Protein: 10.04 gr | Karbohidrat: 21.22 gr | Lemak: 16.17 gr,1 porsi
,Kangkung,Bakwan Kangkung,40 gr Kangkung; 50 gr Jagung Manis; 1 bks Sajiku Tepung Bumbu Bakwan Crispy 90 gr; 700 ml Minyak Goreng; 130 ml Air; Cabe Rawit (pelengkap),"1. Siapkan wadah, masukkan Sajiku Tepung Bumbu Bakwan Crispy dan air, aduk rata; 2. Masukkan kangkung dan jagung manis, aduk rata; 3. Panaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan; 4. Angkat dan Sajikan.",Kalori: 760 Kkal | Protein: 5 gr | Karbohidrat: 48 gr | Lemak: 33 gr,8 porsi
,Kembang Kol,Tumis Kembang Kol,100 gr Kembang Kol; 50 gr Daging Sapi Cincang; 2 siung Bawang Putih; 1 bh Cabai Merah Besar; ¼ bks Masako Rasa Sapi 11 gr; 3 sdm Minyak Goreng; 100 ml Air,"1. Iris bawang putih, cabai merah besar, potong kembang kol, sisihkan; 2. Panaskan minyak goreng, masukkan bawang putih, tumis hingga harum; 3. Masukkan daging sapi cincang, masak hingga berubah warna, tambahkan cabai merah dan kembang kol, aduk rata; 4. Tambahkan air dan Masako Rasa Sapi, masak hingga matang, angkat dan sajikan.",Kalori: 405 Kkal | Protein: 12 gr | Karbohidrat: 8 gr | Lemak: 37 gr,4 porsi
,Kembang Kol,Sop Kembang Kol dan Tofu,"100 gr Kembang Kol; 200 gr Tofu, potong dadu; 150 gr Udang, buang kepala dan kulit; 100 gr Buncis; 100 gr Wortel; 2 bks Masako Rasa Ayam 10gr; 2 btr Telur; 5 siung Bawang Putih, cincang; 1 sdm Saus Sambal; 1 sdt Lada; 1 ltr Air","1. Tumis bawang putih hingga harum, masukkan udang, aduk-aduk hingga berubah warna; 2. Tambahkan saus sambal dan air, masak hingga mendidih; 3. Masukkan telur, aduk dengan cepat; 4. Masukkan kembang kol, buncis, wortel, tofu, lada dan Masako Rasa Ayam. Masak hingga matang dan sajikan selagi hangat.",Kalori: 637 Kkal | Protein: 74 gr | Karbohidrat: 37 gr | Lemak: 25 gr,4 porsi
,Kembang Kol,Tumis Kembang Kol dan Sosis,100 gr Kembang Kol; 100 gr Tahu; 100 gr Sosis Sapi; ½ bks Masako Rasa Sapi 11 gr; 2 btg Daun Bawang; 1 siung Bawang Putih; 2 siung Bawang Merah; 200 ml Air; 3 sdm Minyak Goreng,"1. Iris daun bawang, bawang merah, bawah putih, dan sosis, potong kembang kol, potong tahu ukuran dadu kecil, sisihkan; 2. Panaskan minyak, tumis tahu hingga setengah matang; 3. Tambahkan bawang putih, bawang merah, daun bawang, dan sosis, aduk rata; 4. Masukkan kembang kol, air dan Masako Rasa Sapi , aduk rata, masak hingga matang, angkat, sajikan",Kalori: 760 Kkal | Protein: 46 gr | Karbohidrat: 8 gr | Lemak: 33 gr,4 porsi
,Kol,Tumis Kol Mentega,1/2 kg kol; 1 siung bawang putih; 1 sdm mentega; 1/2 sdt gula; 1/2 sdt kaldu jamur; 1/4 sdt garam; 1/2 sdt saus tiram,"1. Potong dan cuci bersih kubis. Tiriskan; 2. Cincang halus bawang putih, tumis dengan mentega hingga harum; 3. Lalu masukkan kubis, tumis hingga sedikit layu; 4. Kemudian tambahkan gula dan kaldu jamur. Aduk rata, lalu beri saus tiram dan beri sedikit air; 5. Terakhir jika sudah matang dan mendidih, tambahkan sedikit garam. Aduk rata sebentar; 6. Test rasa, sajikan dan taburi bawang putih goreng.",data not found,data not found
,Kol,Kol Gulung Isi Daging,"300 gram kol, ambil per lembar, rebus atau kukus sebentar; 150 gram tahu putih, haluskan; 100 gram jamur hioko, rendam dan iris memanjang; 50 gram daging giling; 2 batang daun bawang, iris halus; 1/2 sdt merica bubuk ; Garam secukupnya; 1/4 sdt saus tiram; 1/2 sdt minyak wijen; 1 sdm tepung maizena","1. Campur tahu dengan jamur, daging giling, daun bawang, merica bubuk, garam, saus tiram, minyak wijen, dan tepung maizena. Aduk hingga rata; 2. Ambil selembar kol yang telah dikukus, beri satu sendok makan adonan isi berbumbu. Lipat dan gulung padat. Lakukan sampai kol dan isian habis; 3. Letakkan dan susun di dalam pinggan tahan panas. Kukus di dalam panci selama 20 menit atau hingga matang. Angkat dan sajikan dengan saus cocolan.",data not found,data not found
,Kol,Siomay Kol Isi Keju,"5 lembar kol ukuran sedang; 1 batang daun bawang, iris tipis; 150 gram daging ayam, cincang; 50 gr keju cheddar, potong korek api; 1 butir telur ayam; 2 sdm tapioca; 1 sdt lada bubuk; 1 sdt garam; 1/2 sdt gula pasir; 1 siung bawang putih cincang halus; 2 sdm air es","1. Masukkan seluruh bahan, kecuali kol dan daun bawang ke dalam food processor. Haluskan hingga semua bahan rata dan sisihkan ke dalam mangkuk. Masukkan irisan daun bawang ke dalam adonan, lalu aduk hingga rata; 2. Didihkan air dalam panci ukuran sedang, lalu rebus daun kol selama 30 detik supaya sedikit layu dan bisa digulung. Sisihkan; 3. Ambil selembar kol, letakkan satu sendok makan adonan di atasnya, lalu tambahkan satu buah keju cheddar yang sudah dipotong korek api. Gulung kol menyerupai lumpia. Lakukan tahap ini hingga adonan habis; 4. Siapkan kukusan, kukus kol selama 25 menit hingga isian matang.",data not found,data not found
,Labu Siam,Tumis Labu Siam,2 bh Labu Siam; 50 gr Udang Jerbung; 1 bh Cabai Merah Keriting; 2 siung Bawang Merah; 3 siung Bawang Putih; 1 bks SAORI Saus Tiram; 20 ml Minyak Goreng; 50 ml Air,"1. Potong serong cabai merah keriting, cincang bawang putih dan bawang merah, potong labu siam ukuran korek api; 2. Panaskan minyak goreng, masukkan bawang putih, udang jerbung dan cabai merah, aduk hingga harum; 3. Tambahkan labu siam, SAORI Saus Tiram, dan air, aduk rata, masak hingga matang.",Kalori: 424 Kkal | Protein: 10 gr | Karbohidrat: 45 gr | Lemak: 21 gr,4 porsi
,Labu Siam,Opor Telur Labu Siam,4 bh Telur rebus; 1 bh Labu siam besar; 1 bks Sajiku Bumbu Opor; 1 bh Cabai hijau besar; 1 bh Cabai merah besar; 600 ml Santan; 2 sdm Minyak goreng,"1. Iris cabai merah dan cabai hijau. Potong labu siam bentuk korek api; 2. Panaskan minyak goreng, tumis cabai merah dan cabai hijau hingga harum.; 3. Masukkan santan, telur rebus, dan labu siam; 4. Tambahkan Sajiku Bumbu Opor, aduk rata, dan masak hingga matang.",Kalori: 1951 Kkal | Protein: 50 gr | Karbohidrat: 56 gr | Lemak: 152 gr,2 porsi
,Labu Siam,Tumis Labu Siam Wortel,"200 gr Labu siam kecil, potong korek api; 100 gr Wortel, potong korek api; 2 sdm minyak goreng; 4 siung bawang merah, iris; 2 siung bawang putih, iris; 1 buah cabe merah tanpa biji, iris; 2 lembar daun salam; 2 cm lengkuas, geprek; 3 gr Garam; 2 gr Ajinomoto; ¼ sdt Lada bubuk","1. Tumis bawang merah, dan bawang putih, irisan cabe, lengkuas, daun salam hingga harum. Tambahkan sedikit air; 2. Masukan Wortel dan Labu siam aduk rata. Tambahkan Garam dan Ajinomoto, Lada bubuk aduk rata Masak hingga matang",Kalori: 41 Kkal | Protein: 1 gr | Karbohidrat: 2 gr | Lemak: 3 gr,6 porsi
,Petai,Bihun Goreng Petai,300g bihun; 6 bh bakso sapi; 2 btr telur; 3 papan petai; 5 bh cabai merah; 5 siung bawang merah; 1 sdt merica bubuk;  6 sdm SAORI Saus Tiram; 3 sdm minyak goreng; Acar dan emping (pelengkap),"1. Rendam bihun dengan air mendidih +/- 3 menit, kocok telur, dan potong bakso; 2 Haluskan cabai merah dan bawang merah, tumis hingga harum; 3. Masukkan bakso dan petai, masak hingga matang, masukkan telur, diorak-arik; 4. Masukkan bihun, merica, dan SAORI Saus Tiram, aduk rata, masak hingga matang, angkat, dan sajikan.",Kalori: 497 Kkal | Protein: - | Karbohidrat: - | Lemak: -,4 porsi
,Petai,Petai Teri Balado,"3 lonjor petai; 100 gram ikan teri, belah dan bersihkan; 3 butir bawang merah, iris; 15-20 buah cabai merah keriting, haluskan; garam secukupnya","1. Potong petai, buang sisi-sisinya. Belah sedikit bagian tengah tetapi jangan sampai terputus. Bersihkan; 2. Belah badan ikan teri dan bersihkan; 3. Goreng petai hingga kecokelatan; 4. Goreng ikan teri dengan minyak bekas menggoreng petai. Goreng dengan api kecil supaya tidak gosong; 5. Tumis bawang merah, lalu masukkan cabai dengan minyak bekas menggoreng petai dan ikan teri; 6. Beri garam dan jeruk nipis ke tumisan; 7. Masak cabai hingga mengeluarkan minyak kemerahan; 8. Tunggu cabai mendingin lalu baru campurkan ke petai dan teri. Sajikan.",data not found,data not found
,Petai,Tumis Petai Kikil Pedas,"1/2 kg kikil sapi; 2 lonjor pete; 5 bh cabe besar potong Serong; 5 bh cabe kecil sesuai selera; 1 bh tomat ukuran kecil; 1 jempol Laos geprek; 1 batang serai geprek; 2 sdm Saos tiram; 1 sdt Kecap manis dan Kecap asin; Garam, penyedap rasa dan kaldu bubuk; 5 bh bawang putih (bahan irisan); 5 bh bawang merah besar (bahan irisan)","1. Bersihkan kikil lalu rebus selama 15 menit. Kemudian potong potong sesuai selera; 2. Siapkan semua bahan yang akan dimasak; 3. Tumis irisan bawang sampai harum. Masukan laos, serai geprek, kecap asin dan saos tiram; 4. Kemudian masukkan kikil, aduk-aduk sampai tercampur rata bersama pete; 5. Tunggu sampai masak kemudian tambahkan garam, gula, penyedap rasa sesuaikan dengan selera. Lalu beri kecap manis; 6. Selanjutnya masukan irisan cabai merah besar dan cabe kecil. Untuk rasa pedas sesuai selera. Aduk sampai tercampur merata; 7. Tumis pete kikil pedas siap disajikan.",data not found,data not found
,Sawi,Sawi Isi Ayam Udang,1.5 g lada putih bubuk ; 7 g sajiku tepung bumbu serbaguna ; 15 g saus bumbu rasa tiram ; 30 ml kecap asin ; 5 sedang udang ; 40 gram sawi dimasak (dari segar) ; 1 sdt garam ; 1 sdt minyak wijen ; 1 sdt gula pasir ; 50 gram dada ayam ; 10 gram wortel,"1.Kukus sawi hingga lunak, diamkan. ; 2.Giling semua bahan (selain sawi) menggunakan chopper. ; 3.Lebarkan lembaran sawi, beri adonan hasil gilingan, gulung. ; 4.Kukus selama 20 menit.","per porsi - Kalori: 131kkal | Lemak: 4,94g | Karb: 9,83g | Prot: 12,51g",data not found
,Sawi,Sawi Tumis,5 g kaldu jamur ; 189 gram sawi hijau ; 12 gram bawang putih,"1.Potong sawi dan bawang. ; 2.Tumis bawang tanpa minyak, tambahkan sedikit air. ; 3.Tambahkan kaldu jamur dan tunggu sampai matang.","per porsi - Kalori: 53kkal | Lemak: 0,69g | Karb: 9,09g | Prot: 3,75g",data not found
,Sawi,Tumis Sawi Tahu,"1/2 iris bawang bombay dimasak ; 3,75 g mentega ; 35 g roti tawar gandum (2) ; 1 putih telur matang ; 2 siung bawang putih dimasak ; 1 porsi tahu ; 1 sdm cabai merah atau rawit ; 1 mangkok, dicincang sawi ; 50 ml air ; 1/4 ml air","1.Tumis bawang bombay dan bawang putih serta cabai, tunggu hingga matang. ; 2.Masukkan putih telur dan buat orak arik. ; 3.Masukkan garam dan lada sedikit saja. Lalu tambahkan air sedikit saja. ; 4.Masukkan sawi dan tahu. Lalu tunggu hingga matang, jangan terlalu lama agar sayuran tetap fresh. ; 5.Sajikan bersama potongan roti gandum. Selamat menikmati.","per porsi - Kalori: 269kkal | Lemak: 11,97g | Karb: 25,24g | Prot: 18,36g",data not found
,Selada,Spring Roll,1/4 besar telur goreng ; 1 sdm roasted sesame dressing ; 4 kecil udang kukus atau rebus ; 3 kecil rice paper ; 1/2 besar utuh tomat ; 1 sdm mayones ; 1/4 mangkok bihun (dimasak) ; 50 gram wortel ; 50 gram kembang kol ; 50 gram selada daun hijau,1.Siapkan bahan bahan isian. ; 2.Rendam beberapa detik rice paper dalam air hangat. ; 3.Bungkus semua bahan dalam rice paper. ; 4.Untuk dressing : Campur salad dressing toasted sesame (kewpie) dengan mayonais. ; 5.Spring roll siap disajikan.,"per porsi - Kalori: 332kkal | Lemak: 12,70g | Karb: 43,24g | Prot: 10,17g",data not found
,Selada,Salad Sayur,"20 g saus salad pulau seribu ; 100 gram tahu ; 70 gram daging ayam (panggang, bakar, dimasak) ; 100 gram kubis ; 100 gram selada daun hijau ; 50 gram tempe","1.Potong-potong ayam, tahu, dan tempe. Masak dalam wajan antilengket sampai empuk. ; 2.Masukkan semua bahan ke dalam mangkuk. ; 3.Sajikan sampai segar.","per porsi - Kalori: 195kkal | Lemak: 9,88g | Karb: 9,59g | Prot: 18,78g",data not found
,Selada,Salad Selada Nanas Tomat,1 iris jeruk nipis ; 1 sdm minyak zaitun ekstra virgin ; 20 ml saus siram wijen sangrai ; 1/4 sdt bubuk cabai ; 50 gram nanas ; 4 tomat anggur ; 50 gram selada daun hijau,"1.Cuci bersih selada, tomat, nanas. ; 2.Rendam dlm air garam selama 15-20 menit. ; 3.Bilas bahan tersebut dengan air bersih, potong2 sesuai selera. ; 4.Keringkan dengan pengering sayuran. ; 5.Campur rata smua bahan salad dressing (kewpie saus siram wijen sangrai+minyak zaitun+sari kurma+bawang putih bubuk+cabe bubuk (optional)+perasan air jeruk nipis. ; 6.Siram salad dressing ke salad yg telah disajikan, aduk2, siap utk disantap.","per porsi - Kalori: 233kkal | Lemak: 19,43g | Karb: 14,16g | Prot: 2,17g",data not found
,Tauge,Tumis Tauge,1 takaran royco ayam ; 100 gram kecambah ; 2 siung bawang putih,1.Iris bawang putih dan tumis di atas api yang panas tanpa minyak. ; 2.Tambahkan taoge dan penyedap rasa sesuai selera. Campur dengan baik. ; 3.Tumis hingga matang.,"per porsi - Kalori: 38kkal | Lemak: 0,51g | Karb: 6,67g | Prot: 3,97g",data not found
,Tauge,Oseng Tauge Tahu Telur,5 g kaldu jamur ; 1 sdm minyak goreng ; 118 gram telur ; 65 gram kecambah ; 130 gram tahu ; 1 sdm kecap manis ; 5 gram cabai merah atau rawit ; 20 gram bawang putih ; 3 gram jahe,"1.Potong dadu tahu, masukkan dalam wadah. ; 2.Kocok lepas telur, tuang kedalam tahu. ; 3.Panaskan minyak, tumis bawang putih, cabe rawit dan jahe hingga harum. ; 4.Tuang tahu dan telur, aduk-aduk hingga telur matang. ; 5.Masukkan toge, aduk aduk. ; 6.Bumbui dengan kecap manis dan kaldu jamur, tambahkan air sedikit. ; 7.Masak sampai bumbu meresap. ; 8.Oseng toge tahu telur siap disajikan.","per porsi - Kalori: 487kkal | Lemak: 29,70g | Karb: 29,12g | Prot: 29,79g",data not found
,Tauge,Tumis Tauge Kacang Panjang,10 gram bawang merah ; 50 gram kecambah ; 1/4 sdm cabai merah atau rawit ; 1 sdm minyak sayur canola ; 1 siung bawang putih ; 100 gram kacang panjang hijau ; 1/2 gelas air,"1,Potong semua sayuran yang dibutuhkan. ; 2.Tumis cabai, bawang merah, bawang putih dengan minyak canola. ; 3.Masukkan tauge dan kacang pang, beri air sedikit dan diamkan hingga sedikit layu.","per porsi - Kalori: 91kkal | Lemak: 7,31g | Karb: 6,11g | Prot: 2,03g",data not found
